tweet_id,favorites,retweet_count
892420643555336193,38912,8624
892177421306343426,33325,6337
891815181378084864,25101,4207
891689557279858688,42268,8745
891327558926688256,40427,9507
891087950875897856,20275,3150
890971913173991426,11891,2099
890729181411237888,65756,19117
890609185150312448,27854,4315
890240255349198849,32036,7503
890006608113172480,30748,7426
889880896479866881,27871,5023
889665388333682689,48243,10179
889638837579907072,27262,4594
889531135344209921,15131,2262
889278841981685760,25389,5496
888917238123831296,29169,4551
888804989199671297,25680,4395
888554962724278272,19983,3622
888078434458587136,21834,3536
887705289381826560,30292,5453
887517139158093824,46386,11794
887473957103951883,69324,18436
887343217045368832,33789,10520
887101392804085760,30644,6031
886983233522544640,35268,7847
886736880519319552,12108,3337
886680336477933568,22500,4521
886366144734445568,21187,3221
886267009285017600,116,4
886258384151887873,28046,6368
886054160059072513,0,105
885984800019947520,32815,6890
885528943205470208,36118,6516
885518971528720385,20489,3804
885311592912609280,0,18781
885167619883638784,22013,4431
884925521741709313,77745,18662
884876753390489601,28032,5862
884562892145688576,24374,4934
884441805382717440,27081,5722
884247878851493888,73238,20663
884162670584377345,20447,3027
883838122936631299,21975,3488
883482846933004288,46096,10078
883360690899218434,22628,3730
883117836046086144,37352,6754
882992080364220416,24030,3981
882762694511734784,28403,4988
882627270321602560,27965,6170
882268110199369728,45122,11752
882045870035918850,29459,5048
881906580714921986,24371,3435
881666595344535552,50712,10809
881633300179243008,127,7
881536004380872706,49623,16182
881268444196462592,23141,5210
880935762899988482,17061,2814
880872448815771648,21369,3866
880465832366813184,28622,6368
880221127280381952,27161,4287
880095782870896641,27714,4413
879862464715927552,22373,3544
879674319642796034,314,10
879492040517615616,23481,3224
879415818425184262,106259,44762
879376492567855104,16821,3159
879130579576475649,0,6939
879050749262655488,22663,4780
879008229531029506,19029,2730
878776093423087618,19441,4181
878604707211726852,30385,7348
878404777348136964,0,1312
878316110768087041,0,6762
878281511006478336,7780,1312
878057613040115712,42197,6939
877736472329191424,80223,19467
877611172832227328,0,81
877556246731214848,22855,3887
877316821321428993,27457,5258
877201837425926144,27245,5690
876838120628539392,20763,3416
876537666061221889,23535,4683
876484053909872640,18846,2442
